#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
2 2.25 4.5 5 2.5 2.75 214526.4002876657 118.2110421482036
2 2.25 4.5 5 2.75 3 10453.69142263303 6.355584502995527
2 2.25 4.5 5 3 3.25 -22739.56041372321 23.5816255568224
2 2.25 4.5 5 3.25 3.5 -8730.265788309744 2.963561306816429
2 2.25 4.5 5 3.5 3.75 1060.832889182045 0.5417369336777599
2 2.25 4.5 5 3.75 4 964.4355060938716 0.4311080807494818
2 2.25 4.5 5 4 4.25 781.4672610387747 0.3434822582238439
2 2.25 4.5 5 4.25 4.5 638.605169986593 0.2738631355196048
2 2.25 4.5 5 4.5 4.75 525.9275717099791 0.218852890162907
2 2.25 4.5 5 4.75 5 436.2262556949106 0.1755740877035805
2 2.25 4.5 5 5 5.25 364.1991447507787 0.141490114607052
2 2.25 4.5 5 5.25 5.5 305.9009183504024 0.1145908940006279
2 2.25 4.5 5 5.5 5.75 258.3650235890095 0.09787268245429459
2 2.25 4.5 5 5.75 6 219.3385308931992 0.08747102173393273
2 2.25 4.5 5 6 6.25 187.0937701324929 0.07768780975678169
2 2.25 4.5 5 6.25 6.5 160.2935639133418 0.06870863465749721
2 2.25 4.5 5 6.5 6.75 137.8949095186916 0.06060100190774165
2 2.25 4.5 5 6.75 7 119.0780192796697 0.05335345400864355
2 2.25 4.5 5 7 7.25 103.1938017031916 0.04691266520217141
2 2.25 4.5 5 7.25 7.5 89.72490421395854 0.04120627576808999
2 2.25 4.5 5 7.5 7.75 78.25563562747494 0.03615529378404858
2 2.25 4.5 5 7.75 8 68.45008900008654 0.03168895682696871
2 2.25 4.5 5 8 8.25 60.03573570509562 0.02774677955782323
2 2.25 4.5 5 8.25 8.5 52.7897345372922 0.02427507335940504
2 2.25 4.5 5 8.5 8.75 46.5293829940636 0.02122513484432886
2 2.25 4.5 5 8.75 9 41.10376849904915 0.01855176446745332
2 2.25 4.5 5 9 9.25 36.38781989046932 0.01620969528389793
2 2.25 4.5 5 9.25 9.5 32.27730264002471 0.01415686278888018
2 2.25 4.5 5 9.5 9.75 28.68792414761596 0.01889322251793857
2 2.25 4.5 5 9.75 10 25.54053898279973 0.01079334187993908
2 2.25 4.5 5 10 20 226.5258138808431 0.06632571551901378
2 2.25 5 6 0 0.25 -6188409.232718846 2437.096983630723
2 2.25 5 6 0.25 0.5 -17811591.8791053 5145.272322673526
2 2.25 5 6 0.5 0.75 -27295945.52962637 7587.374554785198
2 2.25 5 6 0.75 1 -33639087.96961179 8785.08927086565
2 2.25 5 6 1 1.25 -36003250.92653112 13640.60351497885
2 2.25 5 6 1.25 1.5 -32263426.73576886 14083.64372005188
2 2.25 5 6 1.5 1.75 -23730107.7697705 11856.05979549464
2 2.25 5 6 1.75 2 -14329379.52052304 7517.61462017821
2 2.25 5 6 2 2.25 -7028327.296544728 3512.265235512617
2 2.25 5 6 2.25 2.5 -2712126.018732095 1175.522933162432
2 2.25 5 6 2.5 2.75 -747501.5113425739 279.3441350952862
2 2.25 5 6 2.75 3 -86039.77285484986 54.50007365286576
2 2.25 5 6 3 3.25 48543.4164684775 8.691275007409532
2 2.25 5 6 3.25 3.5 26342.83661321017 7.489663870283992
2 2.25 5 6 3.5 3.75 1756.463174111812 1.04633671548261
2 2.25 5 6 3.75 4 1079.389924028317 0.8111103126011585
2 2.25 5 6 4 4.25 843.1233640440278 0.6310505254276677
2 2.25 5 6 4.25 4.5 663.7291716191917 0.4930316116985978
2 2.25 5 6 4.5 4.75 526.2424691324672 0.3863478396234541
2 2.25 5 6 4.75 5 419.9682886285569 0.303681045743815
2 2.25 5 6 5 5.25 337.1688199309374 0.2402064799564982
2 2.25 5 6 5.25 5.5 272.1982209229917 0.2476550967966205
2 2.25 5 6 5.5 5.75 220.8643155142804 0.1521104612505724
2 2.25 5 6 5.75 6 180.0584607850772 0.1219979209137705
2 2.25 5 6 6 6.25 147.4360906630992 0.09817090806828332
2 2.25 5 6 6.25 6.5 121.2133412509567 0.07937494590483141
2 2.25 5 6 6.5 6.75 100.0350016859592 0.06442894239644659
2 2.25 5 6 6.75 7 82.84939089844967 0.05255987682453167
2 2.25 5 6 7 7.25 68.8439777481517 0.04298661729292519
2 2.25 5 6 7.25 7.5 57.38381781172028 0.03528686456726149
2 2.25 5 6 7.5 7.75 47.97053618262186 0.02907384993233819
2 2.25 5 6 7.75 8 40.21095945476563 0.02405861278027288
2 2.25 5 6 8 8.25 33.79335748754718 0.01994573155189272
2 2.25 5 6 8.25 8.5 28.46886504316534 0.01658243264114034
2 2.25 5 6 8.5 8.75 24.03804209223696 0.0138150425653869
2 2.25 5 6 8.75 9 20.34041616415906 0.01154937716851023
2 2.25 5 6 9 9.25 17.246413431432 0.009685455116841268
2 2.25 5 6 9.25 9.5 14.6509777459238 0.008135840109078529
2 2.25 5 6 9.5 9.75 12.46854920462036 0.006853450983111742
2 2.25 5 6 9.75 10 10.62928280797402 0.005783249807166158
2 2.25 5 6 10 20 64.73449705302384 0.02127799518802931
2 2.25 6 8 0 0.25 8575296.797753284 4296.926801034123
2 2.25 6 8 0.25 0.5 24591256.26644604 11333.41740170893
2 2.25 6 8 0.5 0.75 37478502.20922675 16776.33342931105
2 2.25 6 8 0.75 1 45814087.19726646 19547.49472323462
2 2.25 6 8 1 1.25 48484725.74831057 27253.50861452667
2 2.25 6 8 1.25 1.5 42793648.39080202 27335.85479108863
2 2.25 6 8 1.5 1.75 30857099.5371459 23597.89275859938
2 2.25 6 8 1.75 2 18148284.84511443 13163.95743967373
2 2.25 6 8 2 2.25 8573578.132318377 5777.86101350236
2 2.25 6 8 2.25 2.5 3110015.307404997 1806.767616984821
2 2.25 6 8 2.5 2.75 742366.060573287 442.6751766846581
2 2.25 6 8 2.75 3 12670.29823485663 2.083656728500394
2 2.25 6 8 3 3.25 -95257.80360889244 88.82177200550734
2 2.25 6 8 3.25 3.5 -36022.79924572411 10.00951663647757
2 2.25 6 8 3.5 3.75 -306.2942977800013 0.1707738048203302
2 2.25 6 8 3.75 4 116.3817820841467 0.06898188300382913
2 2.25 6 8 4 4.25 78.91777851268141 0.07394480664432024
2 2.25 6 8 4.25 4.5 53.74308545856628 0.04684669896432325
2 2.25 6 8 4.5 4.75 36.71809100413111 0.0303995862372517
2 2.25 6 8 4.75 5 25.14352378369547 0.0201894181750788
2 2.25 6 8 5 5.25 17.24243394035643 0.0136488869979523
2 2.25 6 8 5.25 5.5 11.83078771866554 0.009383298601928658
2 2.25 6 8 5.5 5.75 8.114546844232803 0.006548650449216709
2 2.25 6 8 5.75 6 5.558838546019442 0.004617960818016797
